,comp,comp_id,date,guest_points,guest_result,guest_team,guest_team_short,home_points,home_result,home_team,home_team_short,host,league,site,time,weapon,winner
28,1,LG2.BuLi Ost1A,15.10.2017,0,0,PSSG zu Dresden e.V.,PSSG zu Dresden e.V.,0,0,Giebichensteiner SGI.-Halle,Giebichensteiner SGI.-Halle,PSV Olympia Berlin,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=1,09.30 Uhr,Luftgewehr,guest
29,2,LG2.BuLi Ost1B,15.10.2017,0,0,SV Gölzau II,SV Gölzau II,0,0,SGI.-Löbejün e.V.,SGI.-Löbejün e.V.,PSV Olympia Berlin,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=1,09.30 Uhr,Luftgewehr,guest
30,3,LG2.BuLi Ost1C,15.10.2017,0,0,SV Bötzow,SV Bötzow,0,0,Schützengilde zu Jüterbog e.V.,Schützengilde zu Jüterbog e.V.,PSV Olympia Berlin,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=1,11.20 Uhr,Luftgewehr,guest
31,4,LG2.BuLi Ost1D,15.10.2017,0,0,Schützengilde Deutschenbora,Schützengilde Deutschenbora,0,0,PSV Olympia Berlin,PSV Olympia Berlin,PSV Olympia Berlin,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=1,11.20 Uhr,Luftgewehr,guest
32,5,LG2.BuLi Ost1E,15.10.2017,0,0,SV Gölzau II,SV Gölzau II,0,0,PSSG zu Dresden e.V.,PSSG zu Dresden e.V.,PSV Olympia Berlin,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=1,13.10 Uhr,Luftgewehr,guest
33,6,LG2.BuLi Ost1F,15.10.2017,0,0,Giebichensteiner SGI.-Halle,Giebichensteiner SGI.-Halle,0,0,SGI.-Löbejün e.V.,SGI.-Löbejün e.V.,PSV Olympia Berlin,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=1,13.10 Uhr,Luftgewehr,guest
34,7,LG2.BuLi Ost1G,15.10.2017,0,0,PSV Olympia Berlin,PSV Olympia Berlin,0,0,SV Bötzow,SV Bötzow,PSV Olympia Berlin,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=1,15.00 Uhr,Luftgewehr,guest
35,8,LG2.BuLi Ost1H,15.10.2017,0,0,Schützengilde zu Jüterbog e.V.,Schützengilde zu Jüterbog e.V.,0,0,Schützengilde Deutschenbora,Schützengilde Deutschenbora,PSV Olympia Berlin,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=1,15.00 Uhr,Luftgewehr,guest
36,1,LG2.BuLi Ost2A,12.11.2017,0,0,SV Bötzow,SV Bötzow,0,0,SV Gölzau II,SV Gölzau II,SV Gölzau,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=2,09.30 Uhr,Luftgewehr,guest
37,2,LG2.BuLi Ost2B,12.11.2017,0,0,Schützengilde Deutschenbora,Schützengilde Deutschenbora,0,0,Giebichensteiner SGI.-Halle,Giebichensteiner SGI.-Halle,SV Gölzau,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=2,09.30 Uhr,Luftgewehr,guest
38,3,LG2.BuLi Ost2C,12.11.2017,0,0,PSV Olympia Berlin,PSV Olympia Berlin,0,0,SGI.-Löbejün e.V.,SGI.-Löbejün e.V.,SV Gölzau,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=2,11.20 Uhr,Luftgewehr,guest
39,4,LG2.BuLi Ost2D,12.11.2017,0,0,Schützengilde zu Jüterbog e.V.,Schützengilde zu Jüterbog e.V.,0,0,PSSG zu Dresden e.V.,PSSG zu Dresden e.V.,SV Gölzau,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=2,11.20 Uhr,Luftgewehr,guest
40,5,LG2.BuLi Ost2E,12.11.2017,0,0,SV Gölzau II,SV Gölzau II,0,0,Schützengilde Deutschenbora,Schützengilde Deutschenbora,SV Gölzau,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=2,13.10 Uhr,Luftgewehr,guest
41,6,LG2.BuLi Ost2F,12.11.2017,0,0,Giebichensteiner SGI.-Halle,Giebichensteiner SGI.-Halle,0,0,SV Bötzow,SV Bötzow,SV Gölzau,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=2,13.10 Uhr,Luftgewehr,guest
