,first_name,home,id,last_name,point,position,result,shoot_off,team_full
101,Waldemar,False,LP2.BuLi Nord1B,Markow,0,1,362, ,"('Wandsbeker SGi',)"
102,Miroslaw,True,LP2.BuLi Nord1B,Roj,1,2,380, ,"('SV Groß und Kleinkaliber',)"
103,Jochen,False,LP2.BuLi Nord1B,Siemers,0,2,372, ,"('Wandsbeker SGi',)"
104,Tobias,True,LP2.BuLi Nord1B,Siemssen,1,3,371, ,"('SV Groß und Kleinkaliber',)"
105,Rainer,False,LP2.BuLi Nord1B,Opitz,0,3,366, ,"('Wandsbeker SGi',)"
106,Dieter,True,LP2.BuLi Nord1B,Miller,1,4,373, ,"('SV Groß und Kleinkaliber',)"
107,Valerij,False,LP2.BuLi Nord1B,Krichevskyi,0,4,365, ,"('Wandsbeker SGi',)"
108,Kai,True,LP2.BuLi Nord1B,Winnemuth,0,5,356, ,"('SV Groß und Kleinkaliber',)"
109,Björn-Axel,False,LP2.BuLi Nord1B,Dr. Dose,1,5,380, ,"('Wandsbeker SGi',)"
110,Ian Talmark,True,LP2.BuLi Nord1B,Kannerup,1,1,377, ,"('PC Rendsburg',)"
111,Thilo,False,LP2.BuLi Nord1B,Wehr,0,1,367, ,"('SV Kutenholz',)"
112,Uwe,True,LP2.BuLi Nord1B,Hofmann,1,2,369, ,"('PC Rendsburg',)"
113,Sönke,False,LP2.BuLi Nord1B,Borchers,0,2,365, ,"('SV Kutenholz',)"
114,Helge,True,LP2.BuLi Nord1B,Hagen,0,3,365, ,"('PC Rendsburg',)"
115,Sven,False,LP2.BuLi Nord1B,Delventhal,1,3,369, ,"('SV Kutenholz',)"
116,Uwe,True,LP2.BuLi Nord1B,Knapp,0,4,357, ,"('PC Rendsburg',)"
117,Jana,False,LP2.BuLi Nord1B,Peper,1,4,369, ,"('SV Kutenholz',)"
118,Joris,True,LP2.BuLi Nord1B,Feindt,0,5,366, ,"('PC Rendsburg',)"
119,Steffen,False,LP2.BuLi Nord1B,Hauschild,1,5,368, ,"('SV Kutenholz',)"
120,Frans,True,LP2.BuLi Nord1B,Soerensen,1,1,379, ,"('GTV Bremerhaven-Seestadtteufel',)"
121,Meik,False,LP2.BuLi Nord1B,Kutzeck,0,1,366, ,"('SP Brackstedt',)"
122,Antje,True,LP2.BuLi Nord1B,Noeske,1,2,378, ,"('GTV Bremerhaven-Seestadtteufel',)"
123,Isabel,False,LP2.BuLi Nord1B,Kausch,0,2,361, ,"('SP Brackstedt',)"
124,Theo,True,LP2.BuLi Nord1B,Hadrath,1,3,378, ,"('GTV Bremerhaven-Seestadtteufel',)"
125,Patrick,False,LP2.BuLi Nord1B,Samse,0,3,366, ,"('SP Brackstedt',)"
126,Thomas,True,LP2.BuLi Nord1B,Lüken,1,4,379, ,"('GTV Bremerhaven-Seestadtteufel',)"
127,Katja,False,LP2.BuLi Nord1B,Broich,0,4,359, ,"('SP Brackstedt',)"
128,Frank,True,LP2.BuLi Nord1B,Heitmeyer,1,5,361, ,"('GTV Bremerhaven-Seestadtteufel',)"
